Stock,Symbol,Sector,Strategy Bucket,Suggested Allocation (%),Max Investment (₹),CMP,Calculated Investment (₹),Final Investment (₹),Quantity,Status
Zomato,ZOMATO,Tech,Growth Leaders,2,100000,0,0,0,0,No CMP
Ador Welding,ADORWELD,Industrial,Tactical/Cyclical,1,50000,0,0,0,0,No CMP
Zomato (Old holding),ZOMATO,Tech,Tactical/Cyclical,1,50000,0,0,0,0,No CMP
PREMIERPOL,PREMIERPOL,Smallcap,Tactical/Cyclical,1,50000,0,0,0,0,No CMP
HDFC Bank,HDFCBANK,Banking,High Quality Compounders,4,200000,772,200000,199948,259,OK
ICICI Bank,ICICIBANK,Banking,High Quality Compounders,4,200000,1245.5,200000,199280,160,OK
Asian Paints,ASIANPAINT,Consumer,High Quality Compounders,3,150000,2186.2,150000,148661.6,68,OK
Pidilite,PIDILITIND,Consumer,High Quality Compounders,3,150000,1295.1,150000,148936.5,115,OK
Titan,TITAN,Consumer,High Quality Compounders,3,150000,4230.6,150000,148071,35,OK
HUL,HINDUNILVR,FMCG,High Quality Compounders,3,150000,2110.6,150000,149852.6,71,OK
Nestle,NESTLEIND,FMCG,High Quality Compounders,3,150000,1222.8,150000,149181.6,122,OK
Kotak Bank,KOTAKBANK,Banking,High Quality Compounders,3,150000,362.95,150000,149898.35,413,OK
Sun Pharma,SUNPHARMA,Pharma,High Quality Compounders,2,100000,1718,100000,99644,58,OK
Dr Reddy,DRREDDY,Pharma,High Quality Compounders,2,100000,1196.1,100000,99276.3,83,OK
L&T,LT,Infra,Growth Leaders,5,250000,3723.3,250000,249461.1,67,OK
Siemens,SIEMENS,Industrial,Growth Leaders,3,150000,3075.5,150000,147624,48,OK
ABB,ABB,Industrial,Growth Leaders,3,150000,6269,150000,144187,23,OK
Cummins,CUMMINSIND,Industrial,Growth Leaders,3,150000,4638.9,150000,148444.8,32,OK
Polycab,POLYCAB,Industrial,Growth Leaders,3,150000,7227,150000,144540,20,OK
KEI Industries,KEI,Industrial,Growth Leaders,2,100000,4236.6,100000,97441.8,23,OK
Apollo Hospitals,APOLLOHOSP,Healthcare,Growth Leaders,3,150000,7326.5,150000,146530,20,OK
Tata Elxsi,TATAELXSI,IT,Growth Leaders,2,100000,4357.6,100000,95867.2,22,OK
Jio Financial,JIOFIN,Finance,Growth Leaders,2,100000,235.33,100000,99779.92,424,OK
ITC,ITC,FMCG,Tactical/Cyclical,2,100000,298.45,100000,99980.75,335,OK
BHEL,BHEL,Capital Goods,Tactical/Cyclical,2,100000,253.59,100000,99914.46,394,OK
PNB,PNB,Banking,Tactical/Cyclical,2,100000,104.58,100000,99978.48,956,OK
ONGC,ONGC,Energy,Tactical/Cyclical,2,100000,286.65,100000,99754.2,348,OK
NTPC,NTPC,Power,Tactical/Cyclical,2,100000,368.85,100000,99958.35,271,OK
NHPC,NHPC,Power,Tactical/Cyclical,2,100000,75.67,100000,99960.07,1321,OK
CIPLA,CIPLA,Pharma,Tactical/Cyclical,2,100000,1202.4,100000,99799.2,83,OK
WIPRO,WIPRO,IT,Tactical/Cyclical,2,100000,204.72,100000,99903.36,488,OK
RBL Bank,RBLBANK,Banking,Tactical/Cyclical,1,50000,312.6,50000,49703.4,159,OK
Yes Bank,YESBANK,Banking,Tactical/Cyclical,1,50000,18.13,50000,49984.41,2757,OK
Coal India,COALINDIA,Energy,Tactical/Cyclical,2,100000,463,100000,99545,215,OK
SAIL,SAIL,Steel,Tactical/Cyclical,1,50000,160.62,50000,49952.82,311,OK
