Stock,Symbol,Sector,Strategy Bucket,Suggested Allocation (%),Max Investment (₹),CMP,Calculated Investment (₹),Final Investment (₹),Quantity,Status
HDFC Bank,HDFCBANK,Banking,High Quality Compounders,4.0,200000.0,772.0,200000.0,199948.0,259,OK
ICICI Bank,ICICIBANK,Banking,High Quality Compounders,4.0,200000.0,1245.5,200000.0,199280.0,160,OK
Asian Paints,ASIANPAINT,Consumer,High Quality Compounders,3.0,150000.0,2186.2,150000.0,148661.6,68,OK
Pidilite,PIDILITIND,Consumer,High Quality Compounders,3.0,150000.0,1295.1,150000.0,148936.5,115,OK
Titan,TITAN,Consumer,High Quality Compounders,3.0,150000.0,4230.6,150000.0,148071.0,35,OK
HUL,HINDUNILVR,FMCG,High Quality Compounders,3.0,150000.0,2110.6,150000.0,149852.6,71,OK
Nestle,NESTLEIND,FMCG,High Quality Compounders,3.0,150000.0,1222.8,150000.0,149181.6,122,OK
Kotak Bank,KOTAKBANK,Banking,High Quality Compounders,3.0,150000.0,362.95,150000.0,149898.35,413,OK
Sun Pharma,SUNPHARMA,Pharma,High Quality Compounders,2.0,100000.0,1718.0,100000.0,99644.0,58,OK
Dr Reddy,DRREDDY,Pharma,High Quality Compounders,2.0,100000.0,1196.1,100000.0,99276.3,83,OK
L&T,LT,Infra,Growth Leaders,5.0,250000.0,3723.3,250000.0,249461.1,67,OK
Siemens,SIEMENS,Industrial,Growth Leaders,3.0,150000.0,3075.5,150000.0,147624.0,48,OK
ABB,ABB,Industrial,Growth Leaders,3.0,150000.0,6269.0,150000.0,144187.0,23,OK
Cummins,CUMMINSIND,Industrial,Growth Leaders,3.0,150000.0,4638.9,150000.0,148444.8,32,OK
Polycab,POLYCAB,Industrial,Growth Leaders,3.0,150000.0,7227.0,150000.0,144540.0,20,OK
KEI Industries,KEI,Industrial,Growth Leaders,2.0,100000.0,4236.6,100000.0,97441.8,23,OK
Apollo Hospitals,APOLLOHOSP,Healthcare,Growth Leaders,3.0,150000.0,7326.5,150000.0,146530.0,20,OK
Tata Elxsi,TATAELXSI,IT,Growth Leaders,2.0,100000.0,4357.6,100000.0,95867.2,22,OK
Jio Financial,JIOFIN,Finance,Growth Leaders,2.0,100000.0,235.33,100000.0,99779.92,424,OK
Zomato,ZOMATO,Tech,Growth Leaders,2.0,100000.0,0.0,0.0,0.0,0,No CMP
ITC,ITC,FMCG,Tactical/Cyclical,2.0,100000.0,298.45,100000.0,99980.75,335,OK
BHEL,BHEL,Capital Goods,Tactical/Cyclical,2.0,100000.0,253.59,100000.0,99914.46,394,OK
PNB,PNB,Banking,Tactical/Cyclical,2.0,100000.0,104.58,100000.0,99978.48,956,OK
ONGC,ONGC,Energy,Tactical/Cyclical,2.0,100000.0,286.65,100000.0,99754.2,348,OK
NTPC,NTPC,Power,Tactical/Cyclical,2.0,100000.0,368.85,100000.0,99958.35,271,OK
NHPC,NHPC,Power,Tactical/Cyclical,2.0,100000.0,75.67,100000.0,99960.07,1321,OK
CIPLA,CIPLA,Pharma,Tactical/Cyclical,2.0,100000.0,1202.4,100000.0,99799.2,83,OK
WIPRO,WIPRO,IT,Tactical/Cyclical,2.0,100000.0,204.72,100000.0,99903.36,488,OK
RBL Bank,RBLBANK,Banking,Tactical/Cyclical,1.0,50000.0,312.6,50000.0,49703.4,159,OK
Yes Bank,YESBANK,Banking,Tactical/Cyclical,1.0,50000.0,18.13,50000.0,49984.41,2757,OK
Coal India,COALINDIA,Energy,Tactical/Cyclical,2.0,100000.0,463.0,100000.0,99545.0,215,OK
SAIL,SAIL,Steel,Tactical/Cyclical,1.0,50000.0,160.62,50000.0,49952.82,311,OK
IRB Infra,IRB,Infra,Tactical/Cyclical,1.0,50000.0,20.55,50000.0,49998.15,2433,OK
Apollo Tyres,APOLLOTYRE,Auto,Tactical/Cyclical,1.0,50000.0,412.85,50000.0,49954.85,121,OK
Ador Welding,ADORWELD,Industrial,Tactical/Cyclical,1.0,50000.0,0.0,0.0,0.0,0,No CMP
RCF,RCF,Fertilizer,Tactical/Cyclical,1.0,50000.0,117.61,50000.0,49984.25,425,OK
Mazagon Dock,MAZDOCK,Defence,Tactical/Cyclical,1.0,50000.0,2328.1,50000.0,48890.1,21,OK
Godawari Power,GPPL,Metal,Tactical/Cyclical,1.0,50000.0,147.7,50000.0,49922.6,338,OK
20 Microns,20MICRONS,Materials,Tactical/Cyclical,1.0,50000.0,154.62,50000.0,49942.26,323,OK
Zomato (Old holding),ZOMATO,Tech,Tactical/Cyclical,1.0,50000.0,0.0,0.0,0.0,0,No CMP
APOLLOHOSP,APOLLOHOSP,Healthcare,Growth Leaders,3.0,150000.0,7326.5,150000.0,146530.0,20,OK
BEL,BEL,Defence,Tactical/Cyclical,2.0,100000.0,427.8,100000.0,99677.4,233,OK
BHARTIARTL,BHARTIARTL,Telecom,High Quality Compounders,3.0,150000.0,1830.3,150000.0,148254.3,81,OK
BHEL,BHEL,Capital Goods,Tactical/Cyclical,2.0,100000.0,253.59,100000.0,99914.46,394,OK
CAPLIPOINT,CAPLIPOINT,Pharma,Growth Leaders,2.0,100000.0,1610.5,100000.0,99851.0,62,OK
DATAMATICS,DATAMATICS,IT,Growth Leaders,2.0,100000.0,697.3,100000.0,99713.9,143,OK
FEDERALBNK,FEDERALBNK,Banking,Growth Leaders,2.0,100000.0,275.15,100000.0,99879.45,363,OK
GICRE,GICRE,Insurance,Tactical/Cyclical,1.0,50000.0,381.95,50000.0,49653.5,130,OK
HINDALCO,HINDALCO,Metal,Tactical/Cyclical,2.0,100000.0,954.5,100000.0,99268.0,104,OK
HINDUNILVR,HINDUNILVR,FMCG,High Quality Compounders,3.0,150000.0,2110.6,150000.0,149852.6,71,OK
HUDCO,HUDCO,Infra,Tactical/Cyclical,2.0,100000.0,172.18,100000.0,99864.4,580,OK
IDEAFORGE,IDEAFORGE,Defence,Growth Leaders,2.0,100000.0,401.8,100000.0,99646.4,248,OK
