Symbol,Quantity,Price,Transaction,Variety,Product,Order_Type,Rank
HDFCBANK,16,813.7,BUY,regular,CNC,LIMIT,1
ICICIBANK,22,1269.3,BUY,regular,CNC,LIMIT,2
RELIANCE,18,1398.9,BUY,regular,CNC,LIMIT,3
LT,7,3456.5,BUY,regular,CNC,LIMIT,4
BHARTIARTL,17,1853.2,BUY,regular,CNC,LIMIT,5
TCS,6,2372.6,BUY,regular,CNC,LIMIT,7
INFY,14,1230.6,BUY,regular,CNC,LIMIT,8
ITC,61,299.7,BUY,regular,CNC,LIMIT,10
SUNPHARMA,14,1760.7,BUY,regular,CNC,LIMIT,13
ADANIPORTS,8,1363.1,BUY,regular,CNC,LIMIT,16
NTPC,69,375.35,BUY,regular,CNC,LIMIT,23
COALINDIA,52,457.2,BUY,regular,CNC,LIMIT,24
HCLTECH,15,1325,BUY,regular,CNC,LIMIT,31
BEL,57,435.1,BUY,regular,CNC,LIMIT,41
TATASTEEL,137,193.02,BUY,regular,CNC,LIMIT,42
ONGC,76,268.35,BUY,regular,CNC,LIMIT,48
HAL,6,3860.6,BUY,regular,CNC,LIMIT,6
MAZDOCK,11,2390.2,BUY,regular,CNC,LIMIT,20
ADANIGREEN,12,863.85,BUY,regular,CNC,LIMIT,35
