Symbol,Quantity,Price
PREMIERPOL,200,55.86
PREMIERPOL,38,55.87
PREMIERPOL,762,55.86
SOLARINDS,12,13395
SOLARINDS,27,13395
SOLARINDS,5,13394
SOLARINDS,6,13394
POWERMECH,22,1940
POWERMECH,34,1939.8
POWERMECH,35,1942
POWERMECH,5,1940.5
POWERMECH,52,1939.6
POWERMECH,6,1939.5
POWERMECH,6,1941
POWERMECH,90,1940
SBIN,24,1028.65
SBIN,3,1028.65
SBIN,5,1028.65
SBIN,72,1028.7
SBIN,96,1028.7
TRENT,15,3823.55
ZENTEC,100,1420.45
PAYTM,75,1027.45
PAYTM,25,1027.45
APOLLOHOSP,1,7311
APOLLOHOSP,1,7312
APOLLOHOSP,1,7312.5
APOLLOHOSP,8,7312
APOLLOHOSP,9,7310.5
BEL,150,427.55
BHARTIARTL,52,1832.8
BHARTIARTL,1,1832.8
BHARTIARTL,24,1832.8
BHARTIARTL,3,1832.8
BHARTIARTL,3,1832.8
BHARTIARTL,1,1832.8
BHARTIARTL,57,1832.8
BHARTIARTL,9,1832.8
CAPLIPOINT,1,1608.5
CAPLIPOINT,1,1609.1
CAPLIPOINT,26,1607
CAPLIPOINT,30,1606.5
CAPLIPOINT,38,1607.3
CAPLIPOINT,4,1606.55
BHEL,1,254
BHEL,149,253.9
FEDERALBNK,100,275.1
DATAMATICS,1,695.1
DATAMATICS,11,695
DATAMATICS,10,695.25
DATAMATICS,28,695.2
DATAMATICS,40,695.1
DATAMATICS,5,695
DATAMATICS,5,695.15
GICRE,1,381.85
GICRE,18,381.8
GICRE,20,381.75
GICRE,2,381.65
GICRE,29,381.65
GICRE,30,381.85
HINDUNILVR,41,2115.7
HINDUNILVR,59,2115.7
HINDALCO,100,955.25
HUDCO,11,171.9
HUDCO,18,172
HUDCO,71,171.85
IDEAFORGE,100,401.2
IOC,191,134.3
IOC,37,134.35
IOC,772,134.4
ITC,500,298.8
MAZDOCK,2,2326.2
MAZDOCK,19,2326
MAZDOCK,123,2326.25
MAZDOCK,3,2326.1001
MAZDOCK,3,2326.1499
NATIONALUM,200,411.6
NESTLEIND,50,1223.1
PNCINFRA,25,171.41
PNCINFRA,1,171.36
PNCINFRA,14,171.35
PNCINFRA,14,171.36
PNCINFRA,2,171.33
PNCINFRA,2,171.33
PNCINFRA,2,171.4
PNCINFRA,1,171.33
PNCINFRA,3,171.33
PNCINFRA,3,171.48
PNCINFRA,36,171.48
PNCINFRA,4,171.33
PNCINFRA,5,171.33
PNCINFRA,7,171.36
PNCINFRA,81,171.48
ONGC,100,286.35
SUZLON,1000,41.43
TECHM,42,1472.6
TECHM,8,1473.4
WIPRO,1,205.09
WIPRO,99,205.09
